,Metric,Value,solver
0,WEAT,0.13084743231630208,auto
1,WEATES,0.46320435490338696,auto
2,ECT,0.6479629953829321,auto
3,RNSB,0.07820427886235219,auto
4,RND,0.3646251266592287,auto
5,RIPA,0.1757018119096756,auto
0,WEAT,0.13084743231630208,full
1,WEATES,0.46320435490338696,full
2,ECT,0.6479629953829321,full
3,RNSB,0.07073113564830172,full
4,RND,0.3646251266592287,full
5,RIPA,0.1757018119096756,full
0,WEAT,0.13084740891382696,arpack
1,WEATES,0.46320427800949954,arpack
2,ECT,0.647963009341349,arpack
3,RNSB,0.06673336246050572,arpack
4,RND,0.3646250923176822,arpack
5,RIPA,0.17570173740386963,arpack
0,WEAT,0.13084744918562666,randomized
1,WEATES,0.4632043647396152,randomized
2,ECT,0.6479629463941871,randomized
3,RNSB,0.07679503181266974,randomized
4,RND,0.3646251867806471,randomized
5,RIPA,0.17570190131664276,randomized
0,WEAT,0.15040865400049397,auto
1,WEATES,0.754793902033373,auto
2,ECT,0.7978389477929562,auto
3,RNSB,0.06300356797096672,auto
4,RND,0.17973915670120497,auto
5,RIPA,0.4591524302959442,auto
0,WEAT,0.15040865400049397,full
1,WEATES,0.754793902033373,full
2,ECT,0.7978389477929562,full
3,RNSB,0.04967612149074239,full
4,RND,0.17973915670120497,full
5,RIPA,0.4591524302959442,full
0,WEAT,0.15030860801387458,arpack
1,WEATES,0.7376829863388945,arpack
2,ECT,0.8330872655273946,arpack
3,RNSB,0.07472808256717749,arpack
4,RND,0.1579154498925549,arpack
5,RIPA,0.45292964577674866,arpack
0,WEAT,0.15030859833395555,randomized
1,WEATES,0.7376829194594742,randomized
2,ECT,0.8330872655273946,randomized
3,RNSB,0.07146848263411561,randomized
4,RND,0.15791542731163016,randomized
5,RIPA,0.4529295861721039,randomized
0,WEAT,0.203276734676764,auto
1,WEATES,0.5006770899286831,auto
2,ECT,0.8257570207936215,auto
3,RNSB,0.07265731950669628,auto
4,RND,0.1797624163134612,auto
5,RIPA,0.23988908529281616,auto
0,WEAT,0.20147401258037387,full
1,WEATES,0.4915828056193713,full
2,ECT,0.8652474553138618,full
3,RNSB,0.08992784356434656,full
4,RND,0.1821278705792967,full
5,RIPA,0.23507606983184814,full
0,WEAT,0.20147412683884985,arpack
1,WEATES,0.4915830408102066,arpack
2,ECT,0.8652474279368964,arpack
3,RNSB,0.09297642942203395,arpack
4,RND,0.18212798098395666,arpack
5,RIPA,0.23507583141326904,arpack
0,WEAT,0.20147401679078192,randomized
1,WEATES,0.49158282439780043,randomized
2,ECT,0.8652474715188534,randomized
3,RNSB,0.09212289762129815,randomized
4,RND,0.18212786171981665,randomized
5,RIPA,0.2350759506225586,randomized
0,WEAT,0.0979111292370102,auto
1,WEATES,0.41947302447302126,auto
2,ECT,0.8101543467149438,auto
3,RNSB,0.0891078097174609,auto
4,RND,0.07922749458037928,auto
5,RIPA,0.14703631401062012,auto
0,WEAT,0.09862012009491383,full
1,WEATES,0.4257900027543714,full
2,ECT,0.790063663847084,full
3,RNSB,0.07968139953782345,full
4,RND,0.08220138226426407,full
5,RIPA,0.15105947852134705,full
0,WEAT,0.09791116388713773,arpack
1,WEATES,0.4194733025390295,arpack
2,ECT,0.8101543431517558,arpack
3,RNSB,0.06830462453399004,arpack
4,RND,0.0792275799065446,arpack
5,RIPA,0.14703647792339325,arpack
0,WEAT,0.0979111105373546,randomized
1,WEATES,0.41947293565789456,randomized
2,ECT,0.8101543395833509,randomized
3,RNSB,0.0814717505944507,randomized
4,RND,0.07922755253111906,randomized
5,RIPA,0.1470363885164261,randomized
0,WEAT,0.21777508520077665,auto
1,WEATES,0.7897918252334455,auto
2,ECT,0.7190520173607609,auto
3,RNSB,0.12255224819525591,auto
4,RND,0.3144821912283806,auto
5,RIPA,0.18296529352664948,auto
0,WEAT,0.22472660553181548,full
1,WEATES,0.7774977802320364,full
2,ECT,0.7302728215823752,full
3,RNSB,0.1000862182015361,full
4,RND,0.3502379156428845,full
5,RIPA,0.18386609852313995,full
0,WEAT,0.22472666629288762,arpack
1,WEATES,0.7774979947204465,arpack
2,ECT,0.7302728018690505,arpack
3,RNSB,0.09385936335076085,arpack
4,RND,0.3502378034625507,arpack
5,RIPA,0.18386626243591309,arpack
0,WEAT,0.2247265494988297,randomized
1,WEATES,0.7774976677603748,randomized
2,ECT,0.7302728321909707,randomized
3,RNSB,0.10216214327370056,randomized
4,RND,0.35023786179163124,randomized
5,RIPA,0.18386609852313995,randomized
